episode,outcome,time_sec,steps
0,win,60.12,334
1,win,60.12,334
2,win,60.12,334
3,win,60.12,334
4,win,60.12,334
5,win,60.12,334
6,win,60.12,334
7,win,60.12,334
8,win,60.12,334
9,win,60.12,334
10,win,60.12,334
11,win,60.12,334
12,win,60.12,334
13,win,60.12,334
14,win,60.12,334
15,win,60.12,334
16,lose,41.76,232
17,win,60.12,334
18,win,60.12,334
19,win,60.12,334
20,win,60.12,334
21,win,60.12,334
22,win,60.12,334
23,win,60.12,334
24,win,60.12,334
25,lose,47.34,263
26,win,60.12,334
27,win,60.12,334
28,win,60.12,334
29,lose,27.0,150
30,lose,53.1,295
31,lose,35.1,195
32,win,60.12,334
33,win,60.12,334
34,win,60.12,334
35,win,60.12,334
36,win,60.12,334
37,win,60.12,334
38,win,60.12,334
39,win,60.12,334
40,win,60.12,334
41,win,60.12,334
42,win,60.12,334
43,win,60.12,334
44,win,60.12,334
45,lose,47.34,263
46,win,60.12,334
47,win,60.12,334
48,win,60.12,334
49,win,60.12,334
50,win,60.12,334
51,win,60.12,334
52,win,60.12,334
53,win,60.12,334
54,win,60.12,334
55,win,60.12,334
56,win,60.12,334
57,win,60.12,334
58,win,60.12,334
59,win,60.12,334
60,win,60.12,334
61,win,60.12,334
62,win,60.12,334
63,win,60.12,334
64,win,60.12,334
65,win,60.12,334
66,lose,56.7,315
67,win,60.12,334
68,win,60.12,334
69,win,60.12,334
70,win,60.12,334
71,win,60.12,334
72,win,60.12,334
73,win,60.12,334
74,win,60.12,334
75,win,60.12,334
76,lose,32.04,178
77,win,60.12,334
78,win,60.12,334
79,win,60.12,334
80,win,60.12,334
81,win,60.12,334
82,win,60.12,334
83,win,60.12,334
84,win,60.12,334
85,win,60.12,334
86,win,60.12,334
87,win,60.12,334
88,win,60.12,334
89,lose,21.96,122
90,win,60.12,334
91,win,60.12,334
92,win,60.12,334
93,win,60.12,334
94,win,60.12,334
95,win,60.12,334
96,win,60.12,334
97,win,60.12,334
98,win,60.12,334
99,lose,34.38,191
